,name,price,address,lease_type,house_type,lease_start_year,district_code,near_stat,near_stat_mins,bdrm,bath,sqm,sqft
2166,4 Bed Condo in Skypark,23000.0,22 St. Thomas Walk ,Freehold,HDB,2010,9,Somerset,5,4,4,310.95,3347
2167,3 Bed Condo in Oasis @ Elias,4500.0,66 Elias Rd ,Lease_99,Unknown,0,18,,-1,3,3,112.97,1216
2168,3 Bed Condo in The Bencoolen,5000.0,180 Bencoolen St ,Lease_99,HDB,1998,7,Rochor,3,3,2,106.84,1150
2169,1 Bed Condo in Havelock2,2400.0,2 Havelock Rd ,Unknown,HDB,0,1,,-1,1,1,29.91,322
2170,4 Room HDB in 120 Yishun Ring Road,3000.0,None,Lease_99,HDB,1986,0,,-1,3,2,83.98,904
2171,2 Bed Condo in Lakeville,3500.0,9 Jurong Lake Link ,Lease_99,Unknown,0,22,,-1,2,1,58.99,635
2172,2 Room HDB in 64 Marine Drive,3500.0,None,Lease_99,HDB,1976,0,,-1,2,1,69.68,750
2173,3 Bed Condo in Fidvi Court,5800.0,142 Joo Chiat Terrace ,Lease_99,HDB,1978,15,,-1,3,2,104.05,1120
2174,10 Bed House on West Coast Road,20000.0, West Coast Rd ,Unknown,Unknown,0,5,,-1,10,5,390.19,4200
2175,2 Bed Condo in Altez,7200.0,16 Enggor St ,Lease_99,Condominium,2014,2,Tanjong Pagar,3,2,2,103.03,1109
2176,4 Bed Condo in Skypark,23000.0,22 St. Thomas Walk ,Freehold,HDB,2010,9,Somerset,5,4,4,310.95,3347
2177,4 Bed Condo in Ardmore Residence,45000.0,7 Ardmore Pk ,Freehold,Condominium,2013,10,,-1,4,,295.9,3185
2178,1 Bed Condo in The Ebony,2100.0,35 Lor Marican ,Freehold,Condominium,2016,14,Kembangan,6,1,1,33.91,365
2179,6 Bed House on Mera Gardens,14800.0, Almond Cres ,Lease_99,Good_Class_Bungalow,1998,23,Pending,6,6,5,371.61,4000
2180,3 Bed Condo in Leedon 2,5500.0,2 Leedon Rd ,Freehold,Condominium,1997,10,Holland Village,1,3,2,102.94,1108
2181,3 Bed Condo in Spring Grove,7400.0,53A Grange Rd ,Lease_99,Condominium,1996,10,,-1,3,3,129.04,1389
2182,4 Bed Condo in Sage,22000.0,11B Nassim Rd ,Freehold,Condominium,2012,10,,-1,4,5,260.13,2800
2183,5 Bed House on Ocean Drive,40000.0, Ocean Dr ,Unknown,Good_Class_Bungalow,0,4,,-1,5,5,899.3,9680
2184,6 Bed House on Parry Green,8000.0, Limbok Terrace ,Lease_99,Terraced_House,1999,19,,-1,6,5,278.15,2994
2185,3 Bed Condo in Reflections At Keppel Bay,7500.0,33 Keppel Bay View ,Lease_99,Condominium,2011,4,Telok Blangah,6,3,2,115.01,1238
2186,1 Bed Condo in Vue 8 Residence,2788.0,91 Pasir Ris Hts ,Lease_99,Condominium,2017,18,,-1,1,1,,549
2187,6 Bed House on Leedon Road,38000.0, Leedon Rd ,Unknown,Good_Class_Bungalow,0,10,,-1,6,6,789.68,8500
2188,2 Bed Condo in The Arc At Draycott,6800.0,5 Draycott Dr ,Freehold,Condominium,2010,10,,-1,2,2,104.98,1130
2189,Studio Condo in Skysuites @ Anson,3700.0,8 Enggor St ,Lease_99,Condominium,2015,2,Tanjong Pagar,3,,1,33.91,365
2190,4 Bed Condo in Skypark,23000.0,22 St. Thomas Walk ,Freehold,HDB,2010,9,Somerset,5,4,4,310.95,3347
2191,2 Bed Condo in Lloyd Sixtyfive,9000.0,65 Lloyd Rd ,Freehold,HDB,2017,9,Somerset,4,2,2,170.01,1830
